vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
left_2175,3686.0,433.1228758807294,-1.0,0.0,0,3717.0,16,-1,-1.0
left_2179,3686.0,464.22118279651863,-1.0,0.0,0,3721.0,17,-1,-1.0
left_2209,3741.0,56.52001409358002,1.0010241413104382,93.0,0,3841.0,0,0,90.0
left_2252,3796.0,429.40606791209433,91.01363482154291,38.0,1,3873.0,12,12,28.0
left_2319,3906.0,307.14134605257925,-1.0,0.0,0,3924.0,3,-1,-1.0
left_2326,3906.0,434.52050307262687,1.0011326983533877,0.0,0,4033.0,5,0,1.0
left_2328,3906.0,494.3523140460253,8.502109098502673,0.0,0,4038.0,6,1,85.0
left_2384,4016.0,313.10254241917283,121.01780451754536,10.0,1,4072.0,16,15,15.0
left_2387,4016.0,380.51027044146673,128.5188950649934,10.0,1,4074.0,17,15,11.0
left_2389,4016.0,435.8489770730026,136.0198992066354,10.0,1,4076.0,18,13,2.0
left_2392,4016.0,473.083375703264,143.52094233785527,10.0,1,4078.0,19,13,1.0
left_2393,4016.0,493.780490424484,151.02211449781225,10.0,1,4080.0,20,13,1.0
left_2440,4126.0,30.963479088743387,1.0010389612217525,92.0,0,4225.0,0,0,88.0
left_2445,4126.0,228.77611006991924,16.003072527648786,92.0,0,4234.0,2,2,80.0
left_2452,4126.0,484.6277299495414,38.50611285090349,92.0,0,4242.0,5,5,64.0
left_2560,4291.0,434.18241088874635,1.0010972482411944,0.0,0,4417.0,5,0,92.0
left_2599,4346.0,216.12841050550333,46.00737955746973,64.0,1,4435.0,6,6,4.0
left_2666,4456.0,284.17640435798086,-1.0,0.0,0,4477.0,10,-1,-1.0
left_2687,4511.0,1.0197094897052352,1.0010899027007554,91.0,0,4609.0,0,0,94.0
left_2692,4511.0,278.37604505075143,23.504195374659272,91.0,0,4620.0,3,3,81.0
left_2767,4621.0,452.5567382506095,-1.0,0.0,0,4664.0,20,-1,-1.0
left_2799,4676.0,462.64729321217163,1.0010238999896617,0.0,0,4801.0,5,0,85.0
left_2802,4676.0,486.3046892880463,8.502025113289902,0.0,0,4806.0,6,1,80.0
left_2854,4786.0,218.03577952599144,98.51469731136085,8.0,1,4834.0,13,12,5.0
left_2858,4786.0,312.0772280935198,106.0157830747566,8.0,1,4836.0,14,13,3.0
left_2885,4841.0,109.74175927493609,-1.0,0.0,0,4852.0,5,-1,-1.0
left_2912,4896.0,2.717350311527184,1.0010456106050472,90.0,0,4993.0,0,0,91.0
left_2913,4896.0,57.48457632720562,8.502155142370498,90.0,0,4998.0,1,1,4.0
left_2947,4951.0,68.5168657547872,68.51053419307209,35.0,1,5018.0,9,9,4.0
left_2977,4951.0,480.1230451227685,113.51664357581105,35.0,1,5031.0,15,15,20.0
left_3019,5006.0,495.8906570502452,-1.0,0.0,0,5051.0,22,-1,-1.0
left_3050,5061.0,434.88151304554196,1.0010291732529026,0.0,0,5185.0,4,0,87.0
left_3054,5061.0,471.7973933729343,8.502090940746713,0.0,0,5190.0,5,1,85.0
left_3059,5116.0,31.011788434302105,31.005348408537888,62.0,1,5199.0,4,4,1.0
left_3064,5116.0,266.70382890701296,53.50846997255002,62.0,1,5206.0,7,7,2.0
left_3121,5226.0,193.72062452979438,-1.0,0.0,0,5244.0,9,-1,-1.0
left_3157,5281.0,1.0011014871989232,1.0011014871989232,89.0,1,5377.0,0,0,19.0
left_3165,5281.0,308.3933456573635,23.504398714148806,89.0,1,5388.0,3,3,1.0
left_3185,5336.0,71.24853544542191,68.51031295880675,34.0,1,5402.0,9,9,44.0
left_3301,5446.0,389.9165594422257,1.0011389223438982,0.0,0,5569.0,5,0,2.0
left_3308,5501.0,31.005141525213162,31.005141525213162,61.0,1,5583.0,4,4,72.0
left_3346,5556.0,106.01552799447451,106.01552799447451,6.0,1,5605.0,14,14,27.0
left_3360,5556.0,446.72700363710055,151.02188975455445,6.0,1,5616.0,20,14,2.0
left_3363,5556.0,478.26330385878686,158.5228930568683,6.0,1,5618.0,21,14,2.0
left_3364,5556.0,496.2655153719708,-1.0,6.0,1,5620.0,22,-1,-1.0
left_3371,5611.0,110.51630628381344,-1.0,0.0,0,5622.0,5,-1,-1.0
left_3387,5611.0,274.9729929467726,-1.0,0.0,0,5632.0,10,-1,-1.0
left_3410,5666.0,1.0017904313446024,1.0010325604955597,88.0,1,5761.0,0,0,92.0
left_3421,5666.0,325.2290448521263,31.005297576626678,88.0,1,5775.0,4,4,74.0
left_3427,5666.0,447.071032756567,46.00736486581616,88.0,1,5780.0,6,6,60.0
left_3508,5831.0,339.11977432733397,1.0010241986773278,0.0,0,5953.0,4,0,93.0
left_3516,5831.0,446.47142540100486,16.003144162791788,0.0,0,5961.0,6,2,87.0
left_3517,5831.0,480.7997247927823,23.504325917838912,0.0,0,5964.0,7,3,1.0
left_3533,5886.0,237.01329416669896,61.009311234210436,60.0,1,5976.0,8,8,59.0
left_3565,5941.0,326.66490582115944,136.01984510224494,5.0,1,5996.0,18,16,1.0
left_3590,5996.0,182.48995697717453,-1.0,0.0,0,6013.0,9,-1,-1.0
left_3592,5996.0,273.4723853496834,-1.0,0.0,0,6015.0,10,-1,-1.0
left_3633,6051.0,1.0055868495365416,1.0010655686460836,87.0,1,6145.0,0,0,91.0
left_3635,6051.0,77.59867794970035,8.502122796191143,87.0,1,6150.0,1,1,86.0
left_3655,6051.0,496.08452190496035,53.50827215864446,87.0,1,6166.0,7,7,59.0
left_3680,6106.0,228.20141821801656,83.51254091729037,32.0,1,6176.0,11,11,5.0
left_3725,6161.0,346.19064315154355,-1.0,0.0,0,6198.0,18,-1,-1.0
left_3729,6161.0,413.20053924565116,-1.0,0.0,0,6200.0,19,-1,-1.0
left_3770,6216.0,365.5953375762329,1.0010546976263868,0.0,0,6337.0,4,0,94.0
left_3787,6271.0,50.5656144056556,46.007297940425254,59.0,1,6356.0,6,6,2.0
left_3812,6326.0,233.1669906336813,128.51879735230642,4.0,1,6379.0,17,16,15.0
left_3817,6326.0,477.8603298877871,-1.0,4.0,1,6387.0,21,-1,-1.0
left_3862,6436.0,8.423347457595412,1.001062309578515,86.0,1,6529.0,0,0,85.0
left_3875,6436.0,400.16181498132653,31.0051605000582,86.0,1,6542.0,4,4,65.0
left_3884,6491.0,53.50821718327961,53.50821718327961,31.0,1,6549.0,7,7,45.0
left_3981,6601.0,393.16278789760537,1.0010783723558916,0.0,0,6721.0,4,0,87.0
left_3987,6601.0,434.1135563665069,8.502118024201879,0.0,0,6726.0,5,1,86.0
left_4030,6656.0,486.36425175638345,91.01366312763514,58.0,1,6753.0,12,12,37.0
left_4036,6711.0,106.01574182750043,106.01574182750043,3.0,1,6757.0,14,14,24.0
left_4046,6711.0,150.775830888143,128.5188756628605,3.0,1,6763.0,17,17,17.0
left_4096,6766.0,499.75222633974624,-1.0,0.0,0,6807.0,15,-1,-1.0
left_4097,6821.0,1.0010499995091209,1.0010499995091209,85.0,1,6913.0,0,0,91.0
left_4121,6821.0,307.06327523533247,31.005212005886623,85.0,1,6927.0,4,4,1.0
left_4239,6986.0,376.4694023178889,1.001050881746039,0.0,0,7105.0,4,0,91.0
left_4241,6986.0,483.1174477146007,16.003121717527108,0.0,0,7114.0,6,2,81.0
left_4247,7041.0,31.005228979115486,31.005228979115486,57.0,1,7120.0,4,4,67.0
left_4303,7096.0,358.32506515476854,136.0198932007347,2.0,1,7149.0,18,14,4.0
left_4314,7096.0,491.7766388061456,-1.0,2.0,1,7155.0,21,-1,-1.0
left_4363,7206.0,1.001029245596385,1.001029245596385,84.0,1,7297.0,0,0,91.0
left_4367,7206.0,8.515177219468969,8.502058855260943,84.0,1,7302.0,1,1,86.0
left_4371,7206.0,207.42873735995957,23.504217321276485,84.0,1,7308.0,3,3,77.0
left_4394,7261.0,76.0341749298827,76.0115032675714,29.0,1,7324.0,10,10,15.0
left_4402,7261.0,378.9963521681725,98.514643686069,29.0,1,7330.0,13,13,2.0
left_4457,7316.0,496.5036451475695,-1.0,0.0,0,7357.0,20,-1,-1.0
left_4480,7371.0,417.08376804413285,1.0010035326636741,0.0,0,7489.0,3,0,86.0
left_4483,7371.0,467.0405528527684,8.50210918098793,0.0,0,7494.0,4,1,2.0
left_4490,7426.0,38.51725519457324,38.50632557329835,56.0,1,7505.0,5,5,64.0
left_4516,7481.0,83.51258461049275,83.51258461049275,1.0,1,7519.0,11,11,19.0
left_4570,7591.0,1.0010332462621818,1.0010332462621818,83.0,1,7681.0,0,0,90.0
left_4580,7591.0,341.8509811342694,38.50634519284279,83.0,1,7698.0,5,5,72.0
left_4650,7701.0,169.2279945131553,-1.0,0.0,0,7732.0,15,-1,-1.0
left_4687,7756.0,252.76059059431182,1.0010656762895564,0.0,0,7873.0,2,0,93.0
left_4703,7811.0,55.872027238562794,53.50824104036923,55.0,1,7894.0,7,7,63.0
