vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
right_2416,4126.0,9.431225615056633,1.0010340045387238,92.0,0,4225.0,0,0,94.0
right_2420,4126.0,216.69116720609023,16.00314053819767,92.0,0,4233.0,2,2,83.0
right_2466,4181.0,463.29960533073165,98.51474626222023,37.0,1,4258.0,13,13,6.0
right_2476,4236.0,136.01987590785757,136.01987590785757,0.0,0,4267.0,14,14,3.0
right_2540,4291.0,426.2792831700057,1.0010733554429976,0.0,0,4417.0,5,0,91.0
right_2573,4346.0,359.9252452878088,61.00941292198331,64.0,1,4440.0,8,8,53.0
right_2579,4401.0,83.5124943867886,83.5124943867886,9.0,1,4447.0,11,11,27.0
right_2598,4401.0,436.05497496472674,143.52073605680567,9.0,1,4462.0,19,16,9.0
right_2618,4456.0,161.03625794455024,-1.0,0.0,0,4473.0,9,-1,-1.0
right_2651,4511.0,26.287170647253166,1.0011066058681877,91.0,0,4609.0,0,0,3.0
right_2656,4511.0,114.65167663376765,8.502119604608424,91.0,0,4614.0,1,1,4.0
right_2694,4566.0,61.00927061744625,61.00927061744625,36.0,1,4632.0,8,8,6.0
right_2776,4676.0,112.2797722296014,-1.0,0.0,0,4682.0,1,-1,-1.0
right_2798,4676.0,445.07043054709214,1.0010232103830958,0.0,0,4801.0,5,0,87.0
right_2801,4676.0,483.7142883437685,8.502041192300227,0.0,0,4806.0,6,1,81.0
right_2861,4841.0,118.20157065173281,-1.0,0.0,0,4853.0,6,-1,-1.0
right_2901,4896.0,1.0030399690024296,1.0010350106350645,90.0,0,4993.0,0,0,93.0
right_2933,4951.0,342.1768936233595,91.01349888643877,35.0,1,5025.0,12,12,18.0
right_2938,4951.0,404.21383647639306,98.51451786786087,35.0,1,5027.0,13,13,16.0
right_2941,4951.0,478.28742250110946,113.51658390198332,35.0,1,5031.0,15,15,10.0
right_2975,5006.0,498.5821199048312,-1.0,0.0,0,5054.0,23,-1,-1.0
right_3005,5061.0,404.3597881221805,1.0011029063666683,0.0,0,5185.0,5,0,20.0
right_3027,5116.0,61.36737656786147,46.00718436100782,62.0,1,5204.0,6,6,63.0
right_3029,5116.0,172.59199841669275,53.50819563472254,62.0,1,5206.0,7,7,62.0
right_3031,5116.0,350.7642274416982,61.00927088401022,62.0,1,5208.0,8,8,51.0
right_3123,5226.0,488.46517433375124,-1.0,0.0,0,5262.0,14,-1,-1.0
right_3135,5281.0,1.001979155252343,1.0010269438929529,89.0,1,5377.0,0,0,93.0
right_3137,5281.0,77.17810077567589,8.502137839650288,89.0,1,5382.0,1,1,1.0
right_3141,5281.0,268.6682808522636,23.504180854058518,89.0,1,5389.0,3,3,78.0
right_3172,5336.0,224.91367964200916,91.01350813197132,34.0,1,5409.0,12,12,10.0
right_3182,5336.0,455.6648320655338,113.51659140652978,34.0,1,5415.0,15,15,2.0
right_3200,5391.0,151.021752906738,151.021752906738,0.0,0,5425.0,16,16,1.0
right_3239,5446.0,445.72103044129915,1.001101510269848,0.0,0,5569.0,5,0,6.0
right_3242,5446.0,490.7732172803953,8.502006975702216,0.0,0,5574.0,6,1,78.0
right_3289,5556.0,412.11741082742816,136.01938558398126,6.0,1,5613.0,18,13,3.0
right_3314,5611.0,151.85379104155385,-1.0,0.0,0,5626.0,8,-1,-1.0
right_3337,5666.0,1.001364111445639,1.00104768059839,88.0,1,5761.0,0,0,92.0
right_3338,5666.0,22.137510478382527,8.50207895880584,88.0,1,5766.0,1,1,88.0
right_3348,5666.0,328.1172961237321,31.005320702080727,88.0,1,5775.0,4,4,5.0
right_3412,5776.0,329.92334335790304,-1.0,0.0,0,5816.0,19,-1,-1.0
right_3443,5831.0,371.1798731605005,1.0010620373965369,0.0,0,5953.0,4,0,92.0
right_3540,6051.0,1.0098087006487615,1.0010496597099063,87.0,1,6145.0,0,0,90.0
right_3543,6051.0,16.56398038690509,8.502104762072975,87.0,1,6150.0,1,1,87.0
right_3562,6051.0,481.88139946134766,46.007288092863575,87.0,1,6164.0,6,6,27.0
right_3575,6106.0,68.56490001899726,68.5104027018196,32.0,1,6171.0,9,9,11.0
right_3616,6161.0,472.4541002388112,-1.0,0.0,0,6202.0,20,-1,-1.0
right_3628,6216.0,357.465332614258,1.001009041370594,0.0,0,6337.0,4,0,92.0
right_3664,6326.0,91.01337035288445,91.01337035288445,4.0,1,6369.0,12,12,23.0
right_3695,6381.0,132.9129730672559,-1.0,0.0,0,6394.0,6,-1,-1.0
right_3702,6381.0,274.45632133157915,-1.0,0.0,0,6398.0,8,-1,-1.0
right_3728,6436.0,1.0011710383257082,1.001059011791881,86.0,1,6529.0,0,0,91.0
right_3734,6436.0,86.1083887756801,16.003189219515377,86.0,1,6537.0,2,2,82.0
right_3753,6491.0,354.1436089435593,91.01354908991152,31.0,1,6560.0,12,12,27.0
right_3778,6546.0,151.05862451740646,-1.0,0.0,0,6576.0,14,-1,-1.0
right_3824,6601.0,412.7827213868498,1.001037730327596,0.0,0,6721.0,4,0,87.0
right_3849,6656.0,353.46758864047007,53.50828003336432,58.0,1,6742.0,7,7,45.0
right_3853,6656.0,410.05481054158884,61.00934345329802,58.0,1,6744.0,8,8,43.0
right_3877,6711.0,186.03075418303456,121.01777175059864,3.0,1,6761.0,16,15,1.0
right_3901,6766.0,203.39616847701373,-1.0,0.0,0,6781.0,8,-1,-1.0
right_3932,6821.0,1.001019515881353,1.001019515881353,85.0,1,6913.0,0,0,92.0
right_3941,6821.0,288.94930527303364,23.504246389785923,85.0,1,6925.0,3,3,71.0
right_3971,6876.0,153.9154271246971,83.51264064327552,30.0,1,6944.0,11,11,34.0
right_4038,6986.0,365.869548077602,1.0010628305888076,0.0,0,7105.0,3,0,89.0
